date,clean,bad,total,ratio,z
20200210,5361,50,5411,0.009240436148586214,-0.13007756387052052
20200211,5294,35,5329,0.0065678363670482265,-0.7272939194158995
20200212,5230,48,5278,0.00909435392194013,-0.1627209456481406
20200213,5601,44,5645,0.007794508414526129,-0.45318306499438116
20200214,4310,32,4342,0.007369875633348687,-0.5480710627304108
20200215,1710,7,1717,0.004076878276062901,-1.2839208125223733
20200216,2233,12,2245,0.005345211581291759,-1.0005003769606722
20200217,5440,33,5473,0.006029599853827883,-0.8475676884506057
20200218,5989,66,6055,0.010900082576383155,0.2407852933180757
20200219,6563,77,6640,0.011596385542168675,0.39638042673628016
20200220,6665,100,6765,0.014781966001478197,1.108226908707702
20200221,6059,60,6119,0.009805523778395163,-0.003803672369987315
20200222,3137,120,3257,0.0368437212158428,6.038123684526104
20200223,3873,84,3957,0.02122820318423048,2.5486963362136064
20200224,6781,63,6844,0.009205143191116306,-0.13796409128184406
20200225,7044,102,7146,0.014273719563392108,0.9946546905366666
20200226,7531,134,7665,0.017482061317677756,1.711587387708373
20200227,7733,103,7836,0.013144461459928534,0.742311854291839
20200228,6926,82,7008,0.011700913242009132,0.41973807735927576
20200229,2945,60,3005,0.019966722129783693,2.2668070974542176
20200301,3813,51,3864,0.013198757763975156,0.7544448496794413
20200302,7486,130,7616,0.017069327731092435,1.619358371566715
20200303,6980,76,7056,0.010770975056689343,0.2119350618252517
20200304,7724,117,7841,0.014921566126769545,1.1394218068874062
20200305,7268,87,7355,0.011828687967369137,0.4482904840224241
20200306,6448,79,6527,0.012103569787038455,0.5097152883207023
20200307,2818,54,2872,0.018802228412256268,2.0065905476956867
20200308,3445,60,3505,0.017118402282453638,1.6303245195535625
20200309,6929,131,7060,0.018555240793201134,1.9513989523300483
20200310,7449,143,7592,0.018835616438356163,2.014051401132844
20200311,7610,97,7707,0.01258596081484365,0.6175098835173768
20200312,7421,89,7510,0.0118508655126498,0.45324625512551014
20200313,6498,65,6563,0.009904007313728478,0.018203355565613605
20200314,2586,46,2632,0.017477203647416412,1.7105018977858035
20200315,3258,50,3308,0.015114873035066506,1.1826179666986671
20200316,6844,78,6922,0.011268419531927188,0.32309348466129983
20200317,7307,77,7384,0.01042795232936078,0.1352835614773354
20200318,7344,59,7403,0.00796974199648791,-0.41402555180766915
20200319,7276,54,7330,0.007366984993178717,-0.5487170021634035
20200320,5983,90,6073,0.014819693726329656,1.1166575066948954
20200321,2595,32,2627,0.01218119527978683,0.52706139984733
20200322,3269,50,3319,0.015064778547755347,1.171423904889806
20200323,7297,90,7387,0.012183565723568431,0.5275910967387436
20200324,7330,109,7439,0.014652507057400187,1.079298148289062
20200325,7353,137,7490,0.01829105473965287,1.8923642127570268
20200326,7906,165,8071,0.020443563375046464,2.3733615440409315
20200327,6146,80,6226,0.012849341471249599,0.6763646498862466
20200328,2574,35,2609,0.013415101571483326,0.8027888109254787
20200329,3514,57,3571,0.01596191542985158,1.3718971754677645
20200330,7124,70,7194,0.009730330831248262,-0.020606209797400524
20200331,7295,85,7380,0.011517615176151762,0.3787784830249306
20200401,7525,77,7602,0.010128913443830571,0.06846064447480134
20200402,7460,66,7526,0.008769598724422003,-0.23529040286578065
20200403,6199,60,6259,0.009586195877935773,-0.052814455909899985
20200404,2744,24,2768,0.008670520231213872,-0.2574303794666306
20200405,3486,36,3522,0.010221465076660987,0.08914213567321318
20200406,6858,61,6919,0.008816302933949994,-0.22485392898906614
20200407,6921,63,6984,0.00902061855670103,-0.179197773344939
20200408,7366,107,7473,0.014318212230697177,1.004596975498291
20200409,7519,128,7647,0.016738590296848436,1.5454521299789963
20200410,6563,55,6618,0.008310667875491085,-0.33784261099630214
20200411,2635,28,2663,0.010514457378895982,0.15461388948849597
20200412,2347,22,2369,0.009286618826509076,-0.1197576309015273
